EQTYPE,FREQBAND,LOWERMOD,BANDWITDH,PTX,PTH,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
19,13,8,56,24,-68.5,,,,,,,,
19,13,9,7,23,-73.5,,,,,,,,
19,13,9,14,23,-70.5,,,,,,,,
19,13,9,28,23,-68.0,,,,,,,,
19,13,9,56,23,-65.0,,,,,,,,
19,15,1,7,28,-92.5,,,,,,,,
19,15,1,14,28,-90.0,,,,,,,,
19,15,1,28,28,-87.0,,,,,,,,
19,15,1,56,28,-84.5,,,,,,,,
19,15,2,7,28,-88.5,,,,,,,,
19,15,2,14,28,-88.0,,,,,,,,
19,15,2,28,28,-85.5,,,,,,,,
19,15,2,56,28,-83.0,,,,,,,,
19,15,3,7,28,-86.0,,,,,,,,
19,15,3,14,28,-84.0,,,,,,,,
19,15,3,28,28,-80.0,,,,,,,,
19,15,3,56,28,-77.5,,,,,,,,
19,15,4,7,25,-83.0,,,,,,,,
19,15,4,14,25,-81.5,,,,,,,,
19,15,4,28,25,-78.5,,,,,,,,
19,15,4,56,25,-76.5,,,,,,,,
19,15,6,7,25,-80.5,,,,,,,,
19,15,6,14,25,-78.0,,,,,,,,
19,15,6,28,25,-75.0,,,,,,,,
19,15,6,56,25,-73.0,,,,,,,,
19,15,7,7,24,-78.0,,,,,,,,
19,15,7,14,24,-76.0,,,,,,,,
19,15,7,28,24,-73.0,,,,,,,,
19,15,7,56,24,-71.5,,,,,,,,
19,15,8,7,24,-76.5,,,,,,,,
19,15,8,14,24,-73.5,,,,,,,,
19,15,8,28,24,-71.0,,,,,,,,
19,15,8,56,24,-68.5,,,,,,,,
19,15,9,7,23,-73.5,,,,,,,,
19,15,9,14,23,-70.5,,,,,,,,
19,15,9,28,23,-68.0,,,,,,,,
19,15,9,56,23,-65.0,,,,,,,,
19,18,1,7,23,-92.0,,,,,,,,
19,18,1,14,23,-89.5,,,,,,,,
19,18,1,28,23,-86.5,,,,,,,,
19,18,1,56,23,-84.0,,,,,,,,
19,18,2,7,23,-88.0,,,,,,,,
19,18,2,14,23,-87.5,,,,,,,,
19,18,2,28,23,-85.0,,,,,,,,
19,18,2,56,23,-82.5,,,,,,,,
19,18,3,7,23,-85.5,,,,,,,,
19,18,3,14,23,-83.5,,,,,,,,
19,18,3,28,23,-79.5,,,,,,,,
19,18,3,56,23,-77.0,,,,,,,,
19,18,4,7,21,-82.5,,,,,,,,
19,18,4,14,21,-81.0,,,,,,,,
19,18,4,28,21,-78.0,,,,,,,,
19,18,4,56,21,-76.0,,,,,,,,
19,18,6,7,21,-80.0,,,,,,,,
19,18,6,14,21,-77.5,,,,,,,,
19,18,6,28,21,-74.5,,,,,,,,
19,18,6,56,21,-72.5,,,,,,,,
19,18,7,7,19,-77.5,,,,,,,,
19,18,7,14,19,-75.5,,,,,,,,
19,18,7,28,19,-72.5,,,,,,,,
19,18,7,56,19,-71.0,,,,,,,,
19,18,8,7,19,-76.0,,,,,,,,
19,18,8,14,19,-73.0,,,,,,,,
19,18,8,28,19,-70.5,,,,,,,,
19,18,8,56,19,-68.0,,,,,,,,
19,18,9,7,18,-73.0,,,,,,,,
19,18,9,14,18,-70.0,,,,,,,,
19,18,9,28,18,-67.5,,,,,,,,
19,18,9,56,18,-64.5,,,,,,,,
19,23,1,7,23,-92.0,,,,,,,,
19,23,1,14,23,-89.5,,,,,,,,
19,23,1,28,23,-86.5,,,,,,,,
19,23,1,56,23,-84.0,,,,,,,,
19,23,2,7,23,-88.0,,,,,,,,
19,23,2,14,23,-87.5,,,,,,,,
19,23,2,28,23,-85.0,,,,,,,,
19,23,2,56,23,-82.5,,,,,,,,
19,23,3,7,23,-85.5,,,,,,,,
19,23,3,14,23,-83.5,,,,,,,,
19,23,3,28,23,-79.5,,,,,,,,
19,23,3,56,23,-77.0,,,,,,,,
19,23,4,7,21,-82.5,,,,,,,,
19,23,4,14,21,-81.0,,,,,,,,
19,23,4,28,21,-78.0,,,,,,,,
19,23,4,56,21,-76.0,,,,,,,,
19,23,6,7,21,-80.0,,,,,,,,
19,23,6,14,21,-77.5,,,,,,,,
19,23,6,28,21,-74.5,,,,,,,,
19,23,6,56,21,-72.5,,,,,,,,
19,23,7,7,19,-77.5,,,,,,,,
19,23,7,14,19,-75.5,,,,,,,,
19,23,7,28,19,-72.5,,,,,,,,
19,23,7,56,19,-71.0,,,,,,,,
19,23,8,7,19,-76.0,,,,,,,,
19,23,8,14,19,-73.0,,,,,,,,
19,23,8,28,19,-70.5,,,,,,,,
